编号,对应资源编号,位置,缩放
number,number,string,string
ID,name,position,scale
1,1012,"0,0,0","1,1,1"
2,1001,"0,0,-2.5","1,1,3"
3,1007,"0,0,-5.5","1,1,1"
4,1001,"0,0,-8.5","1,1,3"
5,1007,"0,0,-11.5","1,1,1"
6,1001,"0,0,-14.5","1,1,3"
7,1007,"0,0,-17.5","1,1,1"
8,1001,"0,0,-20.5","1,1,3"
9,1007,"0,0,-23.5","1,1,1"
10,1001,"0,0,-26.5","1,1,6"
11,1007,"0,0,-32.5","1,1,1"
12,1001,"0,0,-35.5","1,1,6"
13,1007,"0,0,-41.5","1,1,1"
14,1001,"0,0,-44.5","1,1,7"
15,1011,"0,0,-51.5","1,1,1"
16,1013,"0,0,-55",
17,1101,"0,1,-7",
18,2002,"0,1,-13",
19,1101,"0,1,-19",
20,2001,"0,1,-25",
21,2003,"0,1,-34",
22,1101,"0,1,-43",
24,3001,"-0.32,1,-2.85",
25,3001,"-0.32,1,-3.55",
26,3001,"-0.32,1,-4.25",
27,3001,"-0.32,1,-4.95",
28,3001,"-0.32,1,-5.65",
30,3002,"0,1,-2.85",
31,3002,"0,1,-3.55",
32,3002,"0,1,-4.25",
33,3002,"0,1,-4.95",
34,3002,"0,1,-5.65",
36,3003,"0.32,1,-2.85",
37,3003,"0.32,1,-3.55",
38,3003,"0.32,1,-4.25",
39,3003,"0.32,1,-4.95",
40,3003,"0.32,1,-5.65",
41,3001,"-0.32,1,-14.15",
42,3001,"-0.32,1,-14.85",
43,3001,"-0.32,1,-15.55",
44,3001,"-0.32,1,-16.25",
45,3001,"-0.32,1,-16.95",
46,3001,"-0.32,1,-17.65",
47,3003,"0,1,-14.15",
48,3003,"0,1,-14.85",
49,3003,"0,1,-15.55",
50,3003,"0,1,-16.25",
51,3003,"0,1,-16.95",
52,3003,"0,1,-17.65",
53,3002,"0.32,1,-14.15",
54,3002,"0.32,1,-14.85",
55,3002,"0.32,1,-15.55",
56,3002,"0.32,1,-16.25",
57,3002,"0.32,1,-16.95",
58,3002,"0.32,1,-17.65",
59,3002,"-0.32,1,-20.15",
60,3002,"-0.32,1,-20.85",
61,3002,"-0.32,1,-21.55",
62,3002,"-0.32,1,-22.25",
63,3002,"-0.32,1,-22.95",
64,3002,"-0.32,1,-23.65",
65,3001,"0,1,-20.15",
66,3001,"0,1,-20.85",
67,3001,"0,1,-21.55",
68,3001,"0,1,-22.25",
69,3001,"0,1,-22.95",
70,3001,"0,1,-23.65",
71,3003,"0.32,1,-20.15",
72,3003,"0.32,1,-20.85",
73,3003,"0.32,1,-21.55",
74,3003,"0.32,1,-22.25",
75,3003,"0.32,1,-22.95",
76,3003,"0.32,1,-23.65",
77,3003,"-0.32,1,-26.85",
78,3003,"-0.32,1,-27.55",
79,3003,"-0.32,1,-28.25",
80,3003,"-0.32,1,-28.95",
81,3001,"0,1,-26.85",
82,3001,"0,1,-27.55",
83,3001,"0,1,-28.25",
84,3001,"0,1,-28.95",
85,1301,"0.3,1,-27.35",
86,1301,"0.3,1,-28.45",
87,3001,"-0.32,1,-30.35",
88,3001,"-0.32,1,-31.05",
89,3001,"-0.32,1,-31.75",
90,3001,"-0.32,1,-32.45",
91,1301,"0,1,-30.85",
92,1301,"0,1,-31.95",
93,3003,"0.32,1,-30.35",
94,3003,"0.32,1,-31.05",
95,3003,"0.32,1,-31.75",
96,3003,"0.32,1,-32.45",
97,1301,"-0.3,1,-36.35",
98,1301,"-0.3,1,-37.45",
99,3003,"0,1,-35.85",
100,3003,"0,1,-36.55",
101,3003,"0,1,-37.25",
102,3003,"0,1,-37.95",
103,1301,"0.3,1,-36.35",
104,1301,"0.3,1,-37.45",
105,3003,"-0.32,1,-39.35",
106,3003,"-0.32,1,-40.05",
107,3003,"-0.32,1,-40.75",
108,3003,"-0.32,1,-41.45",
109,1301,"0,1,-39.85",
110,1301,"0,1,-40.95",
111,1301,"0.3,1,-39.85",
112,1301,"0.3,1,-40.95",
113,3004,"0,1,-53.5",
114,6001,"0,1,-45",
115,8001,"0,1.1,-8",
116,8001,"0.12,1.1,-8.5",
117,8001,"0.24,1.1,-9",
118,8001,"0.12,1.1,-9.5",
119,8001,"0,1.1,-10",
120,8001,"-0.12,1.1,-8.5",
121,8001,"-0.24,1.1,-9",
122,8001,"-0.12,1.1,-9.5",
123,8001,"0,1.1,-9",
124,8001,"0.12,1.1,-10.5",
125,8001,"0.24,1.1,-11",
126,8001,"0.12,1.1,-11.5",
127,8001,"0,1.1,-12",
128,8001,"-0.12,1.1,-10.5",
129,8001,"-0.24,1.1,-11",
130,8001,"-0.12,1.1,-11.5",
131,8001,"0,1.1,-11",
132,8001,"0,1.2,-45.5",
133,8001,"0.12,1.2,-46",
134,8001,"0.24,1.2,-46.5",
135,8001,"0.12,1.2,-47",
136,8001,"0,1.2,-47.5",
137,8001,"-0.12,1.2,-48",
138,8001,"-0.24,1.2,-48.5",
139,8001,"-0.12,1.2,-49",
140,8001,"0,1.2,-49.5",
