编号,对应资源编号,位置,缩放
number,number,string,string
ID,name,position,scale
1,1012,"0,0,0","1,1,1"
2,1001,"0,0,-2.5","1,1,1"
3,1002,"0,0,-3.5","1,1,1"
4,1003,"0,0,-10.5","1,1,1"
5,1001,"0,0,-17.5","1,1,1"
6,1007,"0,0,-18.5","1,1,1"
7,1001,"0,0,-21.5","1,1,1"
8,1007,"0,0,-22.5","1,1,1"
9,1001,"0,0,-25.5","1,1,8"
10,1007,"0,0,-33.5","1,1,1"
11,1001,"0,0,-36.5","1,1,8"
12,1007,"0,0,-44.5","1,1,1"
13,1001,"0,0,-47.5","1,1,9"
14,1002,"0,0,-56.5","1,1,1"
15,1003,"0,0,-63.5","1,1,1"
16,1001,"0,0,-70.5","1,1,1"
17,1011,"0,0,-71.5","1,1,1"
18,1013,"0,0,-75",
19,1101,"0,1,-20",
20,2002,"0,1,-24",
21,1201,"0,1.02,-35",
22,2003,"0,1,-46",
23,3001,"-0.32,1.008,-4",
24,3001,"-0.32,1.075,-5",
25,3001,"-0.32,1.167,-6",
26,3001,"-0.32,1.263,-7",
27,3002,"0,1.008,-4",
28,3002,"0,1.075,-5",
29,3002,"0,1.167,-6",
30,3002,"0,1.263,-7",
31,3003,"0.32,1.008,-4",
32,3003,"0.32,1.075,-5",
33,3003,"0.32,1.167,-6",
34,3003,"0.32,1.263,-7",
35,3003,"-0.32,1.427,-9",
36,3003,"-0.32,1.485,-10",
37,3003,"-0.32,1.485,-11",
38,3003,"-0.32,1.425,-12",
39,3001,"0,1.427,-9",
40,3001,"0,1.485,-10",
41,3001,"0,1.485,-11",
42,3001,"0,1.425,-12",
43,3002,"0.32,1.427,-9",
44,3002,"0.32,1.485,-10",
45,3002,"0.32,1.485,-11",
46,3002,"0.32,1.425,-12",
47,3001,"-0.32,1.265,-14",
48,3001,"-0.32,1.172,-15",
49,3001,"-0.32,1.076,-16",
50,3001,"-0.32,1.01,-17",
51,3003,"0,1.265,-14",
52,3003,"0,1.172,-15",
53,3003,"0,1.076,-16",
54,3003,"0,1.01,-17",
55,3002,"0.32,1.265,-14",
56,3002,"0.32,1.172,-15",
57,3002,"0.32,1.076,-16",
58,3002,"0.32,1.01,-17",
59,3001,"-0.32,1,-25.9",
60,3001,"-0.32,1,-26.7",
61,3001,"-0.32,1,-27.5",
62,3001,"-0.32,1,-28.3",
63,3003,"0,1,-25.9",
64,3003,"0,1,-26.7",
65,3003,"0,1,-27.5",
66,3003,"0,1,-28.3",
67,3002,"0,1,-29.5",
68,3003,"0,1,-30.7",
69,3003,"0,1,-31.5",
70,3003,"0,1,-32.3",
71,3003,"0,1,-33.1",
72,3002,"0.32,1,-25.9",
73,3002,"0.32,1,-26.7",
74,3002,"0.32,1,-27.5",
